2022-03-28 15:20:20.090027-输出结果为:{'code': 'fail', 'mes': None}
2022-03-28 15:22:09.405693-输出结果为:{'code': 'fail', 'mes': None}
2022-03-28 19:55:12.214430-messages is :{'code': 'fail', 'mes': None}
2022-03-28 19:55:42.154440-messages is :{'code': 'fail', 'mes': None}
2022-03-28 19:56:12.275625-messages is :{'code': 'fail', 'mes': None}
2022-03-28 20:05:30.877437-messages is :{'code': 'fail', 'mes': None}
2022-03-28 20:06:13.585529-messages is :{'code': 'fail', 'mes': None}
2022-03-28 21:48:09.787667-messages is :{'code': 'fail', 'mes': None}
2022-03-28 22:03:09.705979-messages is :{'code': 'fail', 'mes': None}
2022-03-28 22:18:09.739526-messages is :{'code': 'fail', 'mes': None}
2022-03-28 22:33:09.730653-messages is :{'code': 'fail', 'mes': None}
2022-03-28 22:48:09.765188-messages is :{'code': 'fail', 'mes': None}
2022-03-28 23:03:09.758043-messages is :{'code': 'fail', 'mes': None}
2022-03-28 23:18:09.831737-messages is :{'code': 'fail', 'mes': None}
2022-03-28 23:33:09.816807-messages is :{'code': 'fail', 'mes': None}
2022-03-28 23:48:09.757537-messages is :{'code': 'fail', 'mes': None}
2022-03-29 00:18:09.783878-messages is :{'code': 'fail', 'mes': None}
2022-03-29 00:33:09.748556-messages is :{'code': 'fail', 'mes': None}
2022-03-29 00:48:09.776866-messages is :{'code': 'fail', 'mes': None}
2022-03-29 01:03:09.684853-messages is :{'code': 'fail', 'mes': None}
